prompt_id,anon_id,role,rank,subseq_start_event,mp_distance,series_length,max_depth_in_subseq,window
P12,U01,motif,1,0,0.0,159,0.0,12
P12,U01,motif,2,31,0.0,159,1.0,12
P12,U01,motif,3,44,0.0,159,0.0,12
P12,U01,discord,1,15,3.39649181076185,159,4.0,12
P12,U01,discord,2,140,2.7962838376821098,159,1.0,12
P12,U01,discord,3,89,2.7962838376821018,159,1.0,12
P12,U02,motif,1,0,0.0,155,0.0,12
P12,U02,motif,2,13,0.0,155,0.0,12
P12,U02,motif,3,26,0.0,155,0.0,12
P12,U02,discord,1,121,3.1005828171372674,155,2.0,12
P12,U02,discord,2,107,2.796283837682111,155,1.0,12
P12,U02,discord,3,29,2.6803773626321923,155,1.0,12
P12,U03,motif,1,0,0.0,169,0.0,12
P12,U03,motif,2,17,0.0,169,2.0,12
P12,U03,motif,3,30,0.0,169,0.0,12
P12,U03,discord,1,49,3.2564750465615324,169,3.0,12
P12,U03,discord,2,101,2.7962838376821115,169,1.0,12
P12,U03,discord,3,10,1.3342854287815504,169,2.0,12
P12,U04,motif,1,0,0.0,175,0.0,12
P12,U04,motif,2,13,0.0,175,0.0,12
P12,U04,motif,3,26,0.0,175,0.0,12
P12,U04,discord,1,44,2.796283837682109,175,1.0,12
P12,U04,discord,2,77,2.345577222148272,175,3.0,12
P12,U04,discord,3,148,2.0506422476346913,175,3.0,12
P12,U05,motif,1,0,0.0,129,0.0,12
P12,U05,motif,2,13,0.0,129,0.0,12
P12,U05,motif,3,31,0.0,129,0.0,12
P12,U05,discord,1,19,3.4641016151377544,129,1.0,12
P12,U05,discord,2,0,0.0,129,0.0,12
P12,U05,discord,3,32,0.0,129,0.0,12
P12,U06,motif,1,0,0.0,141,0.0,12
P12,U06,motif,2,13,0.0,141,0.0,12
P12,U06,motif,3,26,0.0,141,0.0,12
P12,U06,discord,1,126,3.239933764236777,141,2.0,12
P12,U06,discord,2,34,3.0866576519379905,141,1.0,12
P12,U06,discord,3,112,2.796283837682111,141,1.0,12
P12,U07,motif,1,0,0.0,171,0.0,12
P12,U07,motif,2,13,0.0,171,0.0,12
P12,U07,motif,3,26,0.0,171,1.0,12
P12,U07,discord,1,51,3.265986323710904,171,1.0,12
P12,U07,discord,2,131,2.796283837682111,171,1.0,12
P12,U07,discord,3,144,2.796283837682111,171,1.0,12
P12,U08,motif,1,29,0.0,175,2.0,12
P12,U08,motif,2,42,0.0,175,0.0,12
P12,U08,motif,3,55,0.0,175,1.0,12
P12,U08,discord,1,153,3.211161190079264,175,1.0,12
P12,U08,discord,2,27,2.6461898807878472,175,2.0,12
P12,U08,discord,3,88,2.415503611283793,175,1.0,12
P12,U09,motif,1,0,0.0,143,1.0,12
P12,U09,motif,2,13,0.0,143,1.0,12
P12,U09,motif,3,26,0.0,143,0.0,12
P12,U09,discord,1,5,2.7962838376821098,143,1.0,12
P12,U09,discord,2,111,2.7962838376821084,143,1.0,12
P12,U09,discord,3,62,1.5217786732222172,143,2.0,12
P12,U10,motif,1,0,0.0,143,0.0,12
P12,U10,motif,2,13,0.0,143,0.0,12
P12,U10,motif,3,26,0.0,143,0.0,12
P12,U10,discord,1,109,3.0582748292085733,143,1.0,12
P12,U10,discord,2,81,2.5243770149333047,143,4.0,12
P12,U10,discord,3,0,0.0,143,0.0,12
P12,U11,motif,1,0,0.0,151,0.0,12
P12,U11,motif,2,13,0.0,151,0.0,12
P12,U11,motif,3,26,0.0,151,0.0,12
P12,U11,discord,1,80,3.0309863747036503,151,1.0,12
P12,U11,discord,2,125,2.796283837682111,151,1.0,12
P12,U11,discord,3,37,2.7962838376821098,151,1.0,12
P12,U12,motif,1,0,0.0,161,1.0,12
P12,U12,motif,2,13,0.0,161,0.0,12
P12,U12,motif,3,33,0.0,161,1.0,12
P12,U12,discord,1,122,3.4641016151377544,161,1.0,12
P12,U12,discord,2,30,3.265986323710904,161,1.0,12
P12,U12,discord,3,52,1.6164198315115537,161,2.0,12
P12,U13,motif,1,0,0.0,145,0.0,12
P12,U13,motif,2,13,0.0,145,0.0,12
P12,U13,motif,3,26,0.0,145,0.0,12
P12,U13,discord,1,89,2.8080923606276555,145,3.0,12
P12,U13,discord,2,127,2.796283837682111,145,1.0,12
P12,U13,discord,3,68,2.7962838376821098,145,1.0,12
P12,U14,motif,1,0,0.0,133,0.0,12
P12,U14,motif,2,13,0.0,133,0.0,12
P12,U14,motif,3,26,0.0,133,0.0,12
P12,U14,discord,1,69,2.1587609555925535,133,1.0,12
P12,U14,discord,2,101,2.1587609555925535,133,2.0,12
P12,U14,discord,3,0,0.0,133,0.0,12
P12,U15,motif,1,0,0.0,131,0.0,12
P12,U15,motif,2,13,0.0,131,0.0,12
P12,U15,motif,3,26,0.0,131,0.0,12
P12,U15,discord,1,0,0.0,131,0.0,12
P12,U15,discord,2,13,0.0,131,0.0,12
P12,U15,discord,3,26,0.0,131,0.0,12
P12,U16,motif,1,3,0.0,193,1.0,12
P12,U16,motif,2,16,0.0,193,0.0,12
P12,U16,motif,3,29,0.0,193,1.0,12
P12,U16,discord,1,42,2.970028153265853,193,1.0,12
P12,U16,discord,2,151,2.4155036112837927,193,1.0,12
P12,U16,discord,3,136,2.415503611283792,193,1.0,12
P12,U17,motif,1,4,0.0,273,1.0,12
P12,U17,motif,2,17,0.0,273,0.0,12
P12,U17,motif,3,30,0.0,273,0.0,12
P12,U17,discord,1,67,3.107612699161089,273,2.0,12
P12,U17,discord,2,2,2.1587609555925535,273,1.0,12
P12,U17,discord,3,129,2.0133550940483547,273,60.0,12
P12,U18,motif,1,0,0.0,145,1.0,12
P12,U18,motif,2,13,0.0,145,1.0,12
P12,U18,motif,3,26,0.0,145,0.0,12
P12,U18,discord,1,55,1.943204524792095,145,4.0,12
P12,U18,discord,2,108,1.943204524792095,145,2.0,12
P12,U18,discord,3,0,0.0,145,1.0,12
P12,U19,motif,1,0,0.0,141,0.0,12
P12,U19,motif,2,13,0.0,141,1.0,12
P12,U19,motif,3,26,0.0,141,0.0,12
P12,U19,discord,1,123,3.3862086130641385,141,5.0,12
P12,U19,discord,2,0,0.0,141,0.0,12
P12,U19,discord,3,13,0.0,141,1.0,12
P12,U20,motif,1,0,0.0,207,0.0,12
P12,U20,motif,2,13,0.0,207,0.0,12
P12,U20,motif,3,34,0.0,207,3.0,12
P12,U20,discord,1,104,3.211161190079263,207,1.0,12
P12,U20,discord,2,70,2.6196557774646974,207,4.0,12
P12,U20,discord,3,157,2.505475331830039,207,2.0,12
P12,U21,motif,1,0,0.0,139,0.0,12
P12,U21,motif,2,13,0.0,139,0.0,12
P12,U21,motif,3,26,0.0,139,0.0,12
P12,U21,discord,1,73,3.4641016151377544,139,1.0,12
P12,U21,discord,2,120,1.943204524792095,139,2.0,12
P12,U21,discord,3,59,1.6556435868473103,139,4.0,12
P12,U23,motif,1,9,0.0,129,0.0,12
P12,U23,motif,2,22,0.0,129,0.0,12
P12,U23,motif,3,35,0.0,129,0.0,12
P12,U23,discord,1,0,3.4641016151377544,129,1.0,12
P12,U23,discord,2,13,0.0,129,0.0,12
P12,U23,discord,3,26,0.0,129,0.0,12
P12,U24,motif,1,0,0.0,141,0.0,12
P12,U24,motif,2,13,0.0,141,1.0,12
P12,U24,motif,3,26,0.0,141,0.0,12
P12,U24,discord,1,119,3.107612699161091,141,2.0,12
P12,U24,discord,2,0,0.0,141,0.0,12
P12,U24,discord,3,13,0.0,141,1.0,12
P12,U25,motif,1,0,0.0,151,0.0,12
P12,U25,motif,2,13,0.0,151,0.0,12
P12,U25,motif,3,33,0.0,151,1.0,12
P12,U25,discord,1,58,2.7962838376821098,151,1.0,12
P12,U25,discord,2,80,2.7962838376821098,151,1.0,12
P12,U25,discord,3,32,2.7962838376821084,151,1.0,12
P12,U26,motif,1,0,0.0,205,2.0,12
P12,U26,motif,2,13,0.0,205,0.0,12
P12,U26,motif,3,26,0.0,205,0.0,12
P12,U26,discord,1,152,2.970028153265848,205,1.0,12
P12,U26,discord,2,40,2.7962838376821098,205,1.0,12
P12,U26,discord,3,181,2.7962838376821098,205,1.0,12
P13,U01,motif,1,0,0.0,163,1.0,12
P13,U01,motif,2,13,0.0,163,0.0,12
P13,U01,motif,3,26,0.0,163,0.0,12
P13,U01,discord,1,51,3.162510526705432,163,4.0,12
P13,U01,discord,2,148,1.943204524792095,163,2.0,12
P13,U01,discord,3,0,0.0,163,1.0,12
P13,U02,motif,1,0,0.0,173,1.0,12
P13,U02,motif,2,13,0.0,173,0.0,12
P13,U02,motif,3,26,0.0,173,0.0,12
P13,U02,discord,1,57,2.7962838376821084,173,1.0,12
P13,U02,discord,2,91,2.1587609555925535,173,1.0,12
P13,U02,discord,3,127,1.947626661310651,173,2.0,12
P13,U03,motif,1,3,0.0,199,1.0,12
P13,U03,motif,2,24,0.0,199,2.0,12
P13,U03,motif,3,37,0.0,199,0.0,12
P13,U03,discord,1,67,3.4641016151377544,199,1.0,12
P13,U03,discord,2,96,2.6823226465389283,199,2.0,12
P13,U03,discord,3,83,2.57489325080907,199,4.0,12
P13,U04,motif,1,0,0.0,191,1.0,12
P13,U04,motif,2,13,0.0,191,0.0,12
P13,U04,motif,3,30,0.0,191,3.0,12
P13,U04,discord,1,33,3.0470733257276263,191,3.0,12
P13,U04,discord,2,137,2.796283837682111,191,1.0,12
P13,U04,discord,3,158,2.4301257502028064,191,2.0,12
P13,U05,motif,1,0,0.0,147,0.0,12
P13,U05,motif,2,13,0.0,147,0.0,12
P13,U05,motif,3,26,0.0,147,0.0,12
P13,U05,discord,1,81,2.7962838376821115,147,1.0,12
P13,U05,discord,2,103,2.7962838376821098,147,1.0,12
P13,U05,discord,3,0,0.0,147,0.0,12
P13,U06,motif,1,0,0.0,175,0.0,12
P13,U06,motif,2,15,0.0,175,1.0,12
P13,U06,motif,3,28,0.0,175,0.0,12
P13,U06,discord,1,52,3.4641016151377544,175,2.0,12
P13,U06,discord,2,107,2.7962838376821098,175,1.0,12
P13,U06,discord,3,13,2.1587609555925535,175,1.0,12
P13,U07,motif,1,21,0.0,165,1.0,12
P13,U07,motif,2,34,0.0,165,0.0,12
P13,U07,motif,3,47,0.0,165,0.0,12
P13,U07,discord,1,12,3.386208613064138,165,1.0,12
P13,U07,discord,2,124,2.7962838376821098,165,1.0,12
P13,U07,discord,3,25,0.0,165,1.0,12
P13,U08,motif,1,0,0.0,225,2.0,12
P13,U08,motif,2,31,0.0,225,1.0,12
P13,U08,motif,3,44,0.0,225,2.0,12
P13,U08,discord,1,109,2.9463818958000987,225,1.0,12
P13,U08,discord,2,136,2.7962838376821058,225,1.0,12
P13,U08,discord,3,30,2.7962838376820986,225,1.0,12
P13,U09,motif,1,0,0.0,197,1.0,12
P13,U09,motif,2,13,0.0,197,1.0,12
P13,U09,motif,3,33,0.0,197,3.0,12
P13,U09,discord,1,120,2.99931299281025,197,2.0,12
P13,U09,discord,2,27,2.7962838376821098,197,1.0,12
P13,U09,discord,3,145,2.7962838376821098,197,1.0,12
P13,U10,motif,1,0,0.0,167,1.0,12
P13,U10,motif,2,13,0.0,167,1.0,12
P13,U10,motif,3,37,0.0,167,1.0,12
P13,U10,discord,1,5,3.4641016151377544,167,1.0,12
P13,U10,discord,2,24,3.4641016151377544,167,7.0,12
P13,U10,discord,3,69,3.454997458928034,167,1.0,12
P13,U11,motif,1,0,0.0,153,0.0,12
P13,U11,motif,2,19,0.0,153,1.0,12
P13,U11,motif,3,32,0.0,153,1.0,12
P13,U11,discord,1,8,2.1587609555925535,153,2.0,12
P13,U11,discord,2,21,0.0,153,1.0,12
P13,U11,discord,3,34,0.0,153,0.0,12
P13,U12,motif,1,2,0.0,317,1.0,12
P13,U12,motif,2,15,0.0,317,0.0,12
P13,U12,motif,3,30,0.0,317,3.0,12
P13,U12,discord,1,80,2.970028153265855,317,1.0,12
P13,U12,discord,2,193,2.970028153265853,317,2.0,12
P13,U12,discord,3,249,2.850524887386964,317,1.0,12
P13,U13,motif,1,0,0.0,157,1.0,12
P13,U13,motif,2,13,0.0,157,0.0,12
P13,U13,motif,3,26,0.0,157,0.0,12
P13,U13,discord,1,60,2.8080923606276555,157,3.0,12
P13,U13,discord,2,0,0.0,157,1.0,12
P13,U13,discord,3,13,0.0,157,0.0,12
P13,U14,motif,1,0,0.0,157,1.0,12
P13,U14,motif,2,25,0.0,157,1.0,12
P13,U14,motif,3,38,0.0,157,0.0,12
P13,U14,discord,1,20,3.1625105267054328,157,4.0,12
P13,U14,discord,2,62,3.1625105267054328,157,1.0,12
P13,U14,discord,3,2,1.9432045247920957,157,2.0,12
P13,U15,motif,1,0,0.0,149,0.0,12
P13,U15,motif,2,13,0.0,149,0.0,12
P13,U15,motif,3,26,0.0,149,0.0,12
P13,U15,discord,1,62,2.1587609555925535,149,2.0,12
P13,U15,discord,2,96,2.1587609555925535,149,1.0,12
P13,U15,discord,3,0,0.0,149,0.0,12
P13,U16,motif,1,2,0.0,241,1.0,12
P13,U16,motif,2,21,0.0,241,2.0,12
P13,U16,motif,3,34,0.0,241,2.0,12
P13,U16,discord,1,56,2.9375714021747688,241,2.0,12
P13,U16,discord,2,200,2.7962838376821053,241,1.0,12
P13,U16,discord,3,165,2.7152002223296132,241,1.0,12
P13,U17,motif,1,0,0.0,185,0.0,12
P13,U17,motif,2,13,0.0,185,0.0,12
P13,U17,motif,3,26,0.0,185,1.0,12
P13,U17,discord,1,43,2.9375714021747688,185,2.0,12
P13,U17,discord,2,108,2.796283837682108,185,1.0,12
P13,U17,discord,3,132,2.796283837682108,185,1.0,12
P13,U18,motif,1,0,0.0,173,1.0,12
P13,U18,motif,2,13,0.0,173,0.0,12
P13,U18,motif,3,37,0.0,173,4.0,12
P13,U18,discord,1,21,2.796283837682111,173,1.0,12
P13,U18,discord,2,133,2.1459429499866856,173,2.0,12
P13,U18,discord,3,99,1.6385084478411343,173,4.0,12
P13,U19,motif,1,0,0.0,171,0.0,12
P13,U19,motif,2,13,0.0,171,3.0,12
P13,U19,motif,3,26,0.0,171,0.0,12
P13,U19,discord,1,74,2.8080923606276555,171,1.0,12
P13,U19,discord,2,102,2.6759084493504335,171,1.0,12
P13,U19,discord,3,15,1.8558592297618597,171,3.0,12
P13,U20,motif,1,3,0.0,247,1.0,12
P13,U20,motif,2,18,0.0,247,3.0,12
P13,U20,motif,3,31,0.0,247,1.0,12
P13,U20,discord,1,145,2.9801713171612985,247,1.0,12
P13,U20,discord,2,168,2.9700281532658535,247,2.0,12
P13,U20,discord,3,230,2.7152002223296123,247,1.0,12
P13,U21,motif,1,0,0.0,197,1.0,12
P13,U21,motif,2,13,0.0,197,0.0,12
P13,U21,motif,3,26,0.0,197,1.0,12
P13,U21,discord,1,125,2.7962838376821013,197,1.0,12
P13,U21,discord,2,171,2.415503611283796,197,1.0,12
P13,U21,discord,3,107,2.41550361128379,197,1.0,12
P13,U22,motif,1,0,0.0,147,0.0,12
P13,U22,motif,2,13,0.0,147,0.0,12
P13,U22,motif,3,26,0.0,147,0.0,12
P13,U22,discord,1,0,0.0,147,0.0,12
P13,U22,discord,2,13,0.0,147,0.0,12
P13,U22,discord,3,26,0.0,147,0.0,12
P13,U23,motif,1,0,0.0,167,0.0,12
P13,U23,motif,2,25,0.0,167,1.0,12
P13,U23,motif,3,38,0.0,167,0.0,12
P13,U23,discord,1,150,3.4641016151377544,167,3.0,12
P13,U23,discord,2,20,3.386208613064138,167,1.0,12
P13,U23,discord,3,100,2.7962838376821098,167,1.0,12
P13,U24,motif,1,0,0.0,157,0.0,12
P13,U24,motif,2,13,0.0,157,0.0,12
P13,U24,motif,3,26,0.0,157,0.0,12
P13,U24,discord,1,49,2.8080923606276555,157,3.0,12
P13,U24,discord,2,0,0.0,157,0.0,12
P13,U24,discord,3,13,0.0,157,0.0,12
P13,U25,motif,1,0,0.0,151,1.0,12
P13,U25,motif,2,13,0.0,151,0.0,12
P13,U25,motif,3,26,0.0,151,0.0,12
P13,U25,discord,1,44,2.796283837682111,151,1.0,12
P13,U25,discord,2,0,0.0,151,1.0,12
P13,U25,discord,3,13,0.0,151,0.0,12
P13,U26,motif,1,0,0.0,245,2.0,12
P13,U26,motif,2,17,0.0,245,2.0,12
P13,U26,motif,3,36,0.0,245,2.0,12
P13,U26,discord,1,49,3.3862086130641345,245,1.0,12
P13,U26,discord,2,31,3.151061147579819,245,2.0,12
P13,U26,discord,3,109,2.970028153265852,245,1.0,12
P14,U01,motif,1,0,0.0,167,0.0,12
P14,U01,motif,2,13,0.0,167,0.0,12
P14,U01,motif,3,26,0.0,167,0.0,12
P14,U01,discord,1,130,2.8458755466720755,167,1.0,12
P14,U01,discord,2,72,2.7962838376821098,167,1.0,12
P14,U01,discord,3,57,1.5343110412700558,167,4.0,12
P14,U02,motif,1,11,0.0,185,1.0,12
P14,U02,motif,2,24,0.0,185,0.0,12
P14,U02,motif,3,37,0.0,185,1.0,12
P14,U02,discord,1,103,2.7962838376821098,185,1.0,12
P14,U02,discord,2,9,2.7962838376821084,185,1.0,12
P14,U02,discord,3,84,2.3258718662480993,185,1.0,12
P14,U03,motif,1,23,0.0,213,1.0,12
P14,U03,motif,2,36,0.0,213,0.0,12
P14,U03,motif,3,49,0.0,213,0.0,12
P14,U03,discord,1,17,3.10761269916109,213,2.0,12
P14,U03,discord,2,160,2.796283837682107,213,1.0,12
P14,U03,discord,3,174,2.525228140765789,213,2.0,12
P14,U04,motif,1,0,0.0,217,2.0,12
P14,U04,motif,2,13,0.0,217,2.0,12
P14,U04,motif,3,26,0.0,217,1.0,12
P14,U04,discord,1,201,3.3722910208866135,217,1.0,12
P14,U04,discord,2,156,3.07951277090724,217,2.0,12
P14,U04,discord,3,119,2.7962838376821098,217,1.0,12
P14,U05,motif,1,0,0.0,165,0.0,12
P14,U05,motif,2,33,0.0,165,0.0,12
P14,U05,motif,3,46,0.0,165,0.0,12
P14,U05,discord,1,16,3.2362872728731573,165,2.0,12
P14,U05,discord,2,2,2.862533651642376,165,1.0,12
P14,U05,discord,3,32,2.862533651642376,165,1.0,12
P14,U06,motif,1,0,0.0,153,0.0,12
P14,U06,motif,2,13,0.0,153,0.0,12
P14,U06,motif,3,26,0.0,153,0.0,12
P14,U06,discord,1,112,2.1587609555925535,153,2.0,12
P14,U06,discord,2,0,0.0,153,0.0,12
P14,U06,discord,3,13,0.0,153,0.0,12
P14,U07,motif,1,0,0.0,157,0.0,12
P14,U07,motif,2,13,0.0,157,0.0,12
P14,U07,motif,3,26,0.0,157,1.0,12
P14,U07,discord,1,101,2.796283837682111,157,1.0,12
P14,U07,discord,2,0,0.0,157,0.0,12
P14,U07,discord,3,13,0.0,157,0.0,12
P14,U08,motif,1,0,0.0,191,0.0,12
P14,U08,motif,2,13,0.0,191,2.0,12
P14,U08,motif,3,26,0.0,191,2.0,12
P14,U08,discord,1,27,2.796283837682109,191,1.0,12
P14,U08,discord,2,107,2.158760955592552,191,1.0,12
P14,U08,discord,3,174,1.947626661310651,191,2.0,12
P14,U09,motif,1,0,0.0,159,0.0,12
P14,U09,motif,2,13,0.0,159,0.0,12
P14,U09,motif,3,26,0.0,159,1.0,12
P14,U09,discord,1,57,2.796283837682111,159,1.0,12
P14,U09,discord,2,88,2.796283837682111,159,1.0,12
P14,U09,discord,3,0,0.0,159,0.0,12
P14,U10,motif,1,0,0.0,169,0.0,12
P14,U10,motif,2,13,0.0,169,1.0,12
P14,U10,motif,3,26,0.0,169,0.0,12
P14,U10,discord,1,17,2.1587609555925527,169,1.0,12
P14,U10,discord,2,127,1.9930046909398667,169,1.0,12
P14,U10,discord,3,83,1.9752318991432443,169,3.0,12
P14,U11,motif,1,0,0.0,165,1.0,12
P14,U11,motif,2,13,0.0,165,1.0,12
P14,U11,motif,3,26,0.0,165,1.0,12
P14,U11,discord,1,128,2.796283837682111,165,1.0,12
P14,U11,discord,2,9,2.7962838376821098,165,1.0,12
P14,U11,discord,3,22,0.0,165,1.0,12
P14,U12,motif,1,14,0.0,243,1.0,12
P14,U12,motif,2,27,0.0,243,1.0,12
P14,U12,motif,3,44,0.0,243,2.0,12
P14,U12,discord,1,21,3.184900868072502,243,1.0,12
P14,U12,discord,2,197,3.031971741502098,243,3.0,12
P14,U12,discord,3,227,2.84541482778323,243,2.0,12
P14,U13,motif,1,0,0.0,155,0.0,12
P14,U13,motif,2,13,0.0,155,0.0,12
P14,U13,motif,3,26,0.0,155,0.0,12
P14,U13,discord,1,66,2.796283837682111,155,1.0,12
P14,U13,discord,2,120,2.796283837682109,155,1.0,12
P14,U13,discord,3,0,0.0,155,0.0,12
P14,U14,motif,1,0,0.0,155,0.0,12
P14,U14,motif,2,13,0.0,155,0.0,12
P14,U14,motif,3,26,0.0,155,0.0,12
P14,U14,discord,1,111,3.4641016151377544,155,3.0,12
P14,U14,discord,2,98,2.808092360627656,155,1.0,12
P14,U14,discord,3,0,0.0,155,0.0,12
P14,U15,motif,1,0,0.0,153,0.0,12
P14,U15,motif,2,13,0.0,153,0.0,12
P14,U15,motif,3,26,0.0,153,0.0,12
P14,U15,discord,1,31,2.1587609555925535,153,2.0,12
P14,U15,discord,2,54,2.1587609555925535,153,1.0,12
P14,U15,discord,3,0,0.0,153,0.0,12
P14,U16,motif,1,0,0.0,251,3.0,12
P14,U16,motif,2,13,0.0,251,2.0,12
P14,U16,motif,3,26,0.0,251,3.0,12
P14,U16,discord,1,60,2.9375714021747688,251,2.0,12
P14,U16,discord,2,144,2.7962838376821004,251,1.0,12
P14,U16,discord,3,104,2.4155036112837904,251,1.0,12
P14,U17,motif,1,4,0.0,177,1.0,12
P14,U17,motif,2,17,0.0,177,0.0,12
P14,U17,motif,3,30,0.0,177,0.0,12
P14,U17,discord,1,142,3.3862086130641367,177,1.0,12
P14,U17,discord,2,3,2.7962838376821098,177,1.0,12
P14,U17,discord,3,98,2.743073260541776,177,2.0,12
P14,U18,motif,1,0,0.0,173,1.0,12
P14,U18,motif,2,13,0.0,173,0.0,12
P14,U18,motif,3,26,0.0,173,1.0,12
P14,U18,discord,1,29,3.386208613064138,173,1.0,12
P14,U18,discord,2,60,1.511857892036908,173,5.0,12
P14,U18,discord,3,131,1.511857892036908,173,3.0,12
P14,U19,motif,1,5,0.0,177,1.0,12
P14,U19,motif,2,18,0.0,177,0.0,12
P14,U19,motif,3,31,0.0,177,0.0,12
P14,U19,discord,1,94,3.372291020886613,177,1.0,12
P14,U19,discord,2,4,2.796283837682106,177,1.0,12
P14,U19,discord,3,115,2.415503611283793,177,1.0,12
P14,U20,motif,1,0,0.0,241,0.0,12
P14,U20,motif,2,36,0.0,241,2.0,12
P14,U20,motif,3,49,0.0,241,1.0,12
P14,U20,discord,1,52,3.4641016151377544,241,1.0,12
P14,U20,discord,2,99,2.580950310573663,241,2.0,12
P14,U20,discord,3,186,2.1908902300206656,241,1.0,12
P14,U21,motif,1,0,0.0,153,0.0,12
P14,U21,motif,2,13,0.0,153,0.0,12
P14,U21,motif,3,26,0.0,153,0.0,12
P14,U21,discord,1,137,3.4641016151377544,153,2.0,12
P14,U21,discord,2,119,2.4699057226708074,153,1.0,12
P14,U21,discord,3,0,0.0,153,0.0,12
P14,U22,motif,1,0,0.0,157,0.0,12
P14,U22,motif,2,13,0.0,157,0.0,12
P14,U22,motif,3,26,0.0,157,1.0,12
P14,U22,discord,1,44,2.796283837682111,157,1.0,12
P14,U22,discord,2,0,0.0,157,0.0,12
P14,U22,discord,3,13,0.0,157,0.0,12
P14,U23,motif,1,0,0.0,147,0.0,12
P14,U23,motif,2,13,0.0,147,0.0,12
P14,U23,motif,3,26,0.0,147,0.0,12
P14,U23,discord,1,129,3.4641016151377544,147,1.0,12
P14,U23,discord,2,0,0.0,147,0.0,12
P14,U23,discord,3,13,0.0,147,0.0,12
P14,U24,motif,1,0,0.0,179,1.0,12
P14,U24,motif,2,13,0.0,179,1.0,12
P14,U24,motif,3,26,0.0,179,0.0,12
P14,U24,discord,1,124,3.3722910208866126,179,1.0,12
P14,U24,discord,2,37,2.7962838376821098,179,1.0,12
P14,U24,discord,3,97,2.4155036112837927,179,1.0,12
P14,U25,motif,1,0,0.0,171,1.0,12
P14,U25,motif,2,13,0.0,171,0.0,12
P14,U25,motif,3,26,0.0,171,0.0,12
P14,U25,discord,1,64,2.796283837682111,171,1.0,12
P14,U25,discord,2,113,2.796283837682111,171,1.0,12
P14,U25,discord,3,146,2.796283837682111,171,1.0,12
P14,U26,motif,1,0,0.0,271,2.0,12
P14,U26,motif,2,37,0.0,271,1.0,12
P14,U26,motif,3,50,0.0,271,1.0,12
P14,U26,discord,1,149,3.265986323710904,271,1.0,12
P14,U26,discord,2,8,2.970028153265854,271,1.0,12
P14,U26,discord,3,129,2.9700281532658512,271,1.0,12
